PL-CCS kg/pl,PL-Tfe%,PL-FeO%,>16 mm,9-16 mm,6.3-9mm,<6.3 mm,Tumble%,Abrasion%,Porosity%,PL-SiO2%,PL-AL2O3%,PL-P%,PL-MnO%,PL-TiO2%,PL-CaO%,PL-MgO%
307,65.62,1.02,8.52,87.03,4,0.46,97.28,1.98,19.65,3.72,0.71,0.1,0.02,0.25,0.6,0.45
298,65.54,0.55,9.41,85.42,4.45,0.71,97.22,2.09,21.02,3.78,0.75,0.11,0.02,0.2,0.6,0.47
306,65.43,0.63,5.22,88.95,5.13,0.7,97.27,2.15,21.38,3.8,0.76,0.1,0.02,0.23,0.55,0.45
297,65.56,0.82,7.48,87.23,4.75,0.54,97.21,2.22,21.13,3.65,0.72,0.11,0.02,0.28,0.56,0.42
305,65.57,0.58,9.19,85.32,4.79,0.71,97.26,2.08,21.38,3.6,0.72,0.11,0.02,0.24,0.62,0.43
308,65.63,0.95,5.38,87.56,6.09,0.97,97.61,1.83,19.75,3.53,0.7,0.11,0.03,0.2,0.63,0.41
314,65.61,0.76,7.67,86.25,5.01,1.08,97.26,1.9,20.43,3.52,0.75,0.11,0.03,0.21,0.64,0.5
302,65.72,0.55,7.1,88.54,3.29,1.07,97.48,1.82,20.83,3.4,0.66,0.1,0.03,0.18,0.61,0.43
321,65.79,0.75,5.22,90.02,4.28,0.48,97.27,1.93,19.87,3.42,0.66,0.1,0.03,0.18,0.64,0.41
325,65.93,0.94,6.88,88.13,4.19,0.8,97.74,1.85,17.37,3.24,0.63,0.1,0.03,0.18,0.6,0.4
315,65.65,0.75,6.55,88.87,3.89,0.69,97,2.14,20.09,3.59,0.71,0.1,0.03,0.22,0.65,0.41
303,65.74,0.67,6.83,88.62,3.6,0.95,96.95,2.38,20.94,3.36,0.64,0.1,0.02,0.27,0.67,0.42
322,65.69,0.8,10.5,83.49,4.52,1.49,96.92,2.16,20.39,3.4,0.64,0.11,0.02,0.28,0.67,0.43
311,65.73,0.64,8.97,86.64,3.68,0.7,96.79,2.37,21.14,3.42,0.64,0.11,0.03,0.26,0.67,0.45
305,65.79,0.59,7.72,87.7,4.09,0.48,97.02,2.29,20.35,3.41,0.64,0.1,0.03,0.28,0.66,0.44
305,65.9,0.73,6.35,89.75,3.47,0.43,97.11,2.21,20.6,3.3,0.61,0.1,0.03,0.23,0.61,0.38
294,65.92,0.58,5.38,90.02,3.51,1.1,97.61,1.74,21.76,3.27,0.61,0.09,0.03,0.2,0.6,0.39
303,66.12,1.16,3.35,91.31,3.82,1.52,97.07,2.07,20.12,3.24,0.59,0.09,0.03,0.18,0.6,0.41
